"","idbs","timepoint","child","code"
"pn12_se1g_310_e",310,"pn12","yes","B Z"
"pn12_se1g_311_e",311,"pn12","yes","B Z"
"pn56_se1g_311_e",311,"pn56","yes","B Z"
"tri3_se1g_311",311,"tri3","no","B Z"
"incl_se1g_311",311,"incl","no","B Z"
"pn12_se1g_311",311,"pn12","no","B Z"
"pn56_se1g_311",311,"pn56","no","B Z"
"pn56_se1g_314",314,"pn56","no","A Y"
"tri3_se1g_314",314,"tri3","no","A Y"
"pn12_se1g_314_e",314,"pn12","yes","A Y"
"pn56_se1g_314_e",314,"pn56","yes","A Y"
"pn12_se1g_314",314,"pn12","no","A Y"
"tri3_se1g_316",316,"tri3","no","A Y"
"pn56_se1g_316",316,"pn56","no","A Y"
"pn12_se1g_316",316,"pn12","no","A Y"
"pn12_se1g_316_e",316,"pn12","yes","A Y"
"pn12_se1g_319",319,"pn12","no","B Z"
"pn56_se1g_319_e",319,"pn56","yes","B Z"
"tri3_se1g_319",319,"tri3","no","B Z"
"pn56_se1g_319",319,"pn56","no","B Z"
"pn12_se1g_319_e",319,"pn12","yes","B Z"
"tri3_se1g_320",320,"tri3","no","B Z"
"pn12_se1g_323_e",323,"pn12","yes","A Y"
"pn12_se1g_323",323,"pn12","no","A Y"
"pn56_se1g_323",323,"pn56","no","A Y"
"tri3_se1g_323",323,"tri3","no","A Y"
"tri3_se1g_325",325,"tri3","no","B Z"
"pn12_se1g_325_e",325,"pn12","yes","B Z"
"pn12_se1g_325",325,"pn12","no","B Z"
"pn56_se1g_325",325,"pn56","no","B Z"
"tri3_se1g_329",329,"tri3","no","B Z"
"pn12_se1g_329",329,"pn12","no","B Z"
"pn12_se1g_329_e",329,"pn12","yes","B Z"
"pn56_se1g_329",329,"pn56","no","B Z"
"tri3_se1g_330",330,"tri3","no","A Y"
"pn12_se1g_330_e",330,"pn12","yes","A Y"
"pn56_se1g_330",330,"pn56","no","A Y"
"pn12_se1g_330",330,"pn12","no","A Y"
"tri3_se1g_331",331,"tri3","no","A Y"
"pn56_se1g_331",331,"pn56","no","A Y"
"pn12_se1g_331_e",331,"pn12","yes","A Y"
"pn12_se1g_331",331,"pn12","no","A Y"
"pn12_se1g_335_e",335,"pn12","yes","B Z"
"pn56_se1g_335_e",335,"pn56","yes","B Z"
"pn12_se1g_335",335,"pn12","no","B Z"
"pn56_se1g_335",335,"pn56","no","B Z"
"tri3_se1g_335",335,"tri3","no","B Z"
"pn12_se1g_336",336,"pn12","no","B Z"
"tri3_se1g_336",336,"tri3","no","B Z"
"pn12_se1g_336_e",336,"pn12","yes","B Z"
"pn56_se1g_336",336,"pn56","no","B Z"
