,database,group,anno
K06336,KEGG,unknown,K06336
K06338,KEGG,unknown,K06338
K06345,KEGG,unknown,K06345
K06346,KEGG,unknown,K06346
K06348,KEGG,unknown,K06348
K06349,KEGG,unknown,K06349
K06350,KEGG,unknown,K06350
K06351,KEGG,unknown,K06351
K06370,KEGG,unknown,K06370
K06373,KEGG,unknown,K06373
K06374,KEGG,unknown,K06374
K06375,KEGG,EC:2.7,K06375
K06376,KEGG,unknown,K06376
K06378,KEGG,unknown,K06378
K06379,KEGG,EC:2.7,K06379
K06381,KEGG,unknown,K06381
K06382,KEGG,EC:3.1,K06382
K06383,KEGG,EC:3.4,K06383
K06384,KEGG,unknown,K06384
K06385,KEGG,unknown,K06385
K06386,KEGG,unknown,K06386
K06387,KEGG,unknown,K06387
K06390,KEGG,unknown,K06390
K06391,KEGG,unknown,K06391
K06392,KEGG,unknown,K06392
K06393,KEGG,unknown,K06393
K06394,KEGG,unknown,K06394
K06395,KEGG,unknown,K06395
K06396,KEGG,unknown,K06396
K06397,KEGG,unknown,K06397
K06398,KEGG,unknown,K06398
K06399,KEGG,EC:3.4,K06399
K06400,KEGG,unknown,K06400
K06401,KEGG,unknown,K06401
K06402,KEGG,EC:3.4,K06402
K06403,KEGG,unknown,K06403
K06404,KEGG,unknown,K06404
K06405,KEGG,unknown,K06405
K06406,KEGG,unknown,K06406
K06407,KEGG,unknown,K06407
K06408,KEGG,unknown,K06408
K06409,KEGG,unknown,K06409
K06410,KEGG,unknown,K06410
K06411,KEGG,unknown,K06411
K06412,KEGG,unknown,K06412
K06413,KEGG,unknown,K06413
K06415,KEGG,unknown,K06415
K06416,KEGG,unknown,K06416
K06418,KEGG,unknown,K06418
K06419,KEGG,unknown,K06419
K06421,KEGG,unknown,K06421
K06423,KEGG,unknown,K06423
K06425,KEGG,unknown,K06425
K06426,KEGG,unknown,K06426
K06434,KEGG,unknown,K06434
K06436,KEGG,unknown,K06436
K06438,KEGG,unknown,K06438
K06441,KEGG,EC:1.1,K06441
K06442,KEGG,EC:2.1,K06442
K06443,KEGG,EC:5.5,K06443
K06445,KEGG,EC:1.3,K06445
K06447,KEGG,EC:1.2,K06447
K06518,KEGG,unknown,K06518
K06596,KEGG,unknown,K06596
K06597,KEGG,unknown,K06597
K06601,KEGG,unknown,K06601
K06602,KEGG,unknown,K06602
K06603,KEGG,unknown,K06603
K06605,KEGG,unknown,K06605
K06606,KEGG,EC:5.3,K06606
K06607,KEGG,EC:1.1,K06607
K06608,KEGG,unknown,K06608
K06609,KEGG,unknown,K06609
K06610,KEGG,unknown,K06610
K06658,KEGG,unknown,K06658
K06714,KEGG,unknown,K06714
K06726,KEGG,EC:5.4,K06726
K06857,KEGG,EC:7.3,K06857
K06858,KEGG,unknown,K06858
K06859,KEGG,EC:5.3,K06859
K06860,KEGG,unknown,K06860
K06861,KEGG,EC:7.5,K06861
K06862,KEGG,unknown,K06862
K06863,KEGG,EC:6.3,K06863
K06864,KEGG,EC:4.4,K06864
K06865,KEGG,unknown,K06865
K06866,KEGG,unknown,K06866
K06867,KEGG,unknown,K06867
K06869,KEGG,unknown,K06869
K06871,KEGG,unknown,K06871
K06872,KEGG,unknown,K06872
K06873,KEGG,unknown,K06873
K06874,KEGG,unknown,K06874
K06875,KEGG,unknown,K06875
K06876,KEGG,EC:4.1,K06876
K06877,KEGG,unknown,K06877
K06878,KEGG,unknown,K06878
K06879,KEGG,EC:1.7,K06879
K06880,KEGG,EC:3.1,K06880
K06881,KEGG,EC:3.1,K06881
K06882,KEGG,unknown,K06882
K06884,KEGG,unknown,K06884
K06885,KEGG,unknown,K06885
K06886,KEGG,unknown,K06886
K06887,KEGG,unknown,K06887
K06888,KEGG,unknown,K06888
K06889,KEGG,unknown,K06889
K06890,KEGG,unknown,K06890
K06891,KEGG,unknown,K06891
K06893,KEGG,unknown,K06893
K06894,KEGG,unknown,K06894
K06895,KEGG,unknown,K06895
K06896,KEGG,EC:3.1,K06896
K06897,KEGG,EC:2.5,K06897
K06898,KEGG,EC:2.5,K06898
K06899,KEGG,unknown,K06899
K06900,KEGG,EC:3.1,K06900
K06901,KEGG,unknown,K06901
K06902,KEGG,unknown,K06902
K06903,KEGG,unknown,K06903
K06904,KEGG,unknown,K06904
K06905,KEGG,unknown,K06905
K06906,KEGG,unknown,K06906
K06907,KEGG,unknown,K06907
K06908,KEGG,unknown,K06908
K06909,KEGG,unknown,K06909
K06911,KEGG,EC:1.1,K06911
K06913,KEGG,unknown,K06913
K06914,KEGG,EC:6.3,K06914
K06915,KEGG,unknown,K06915
K06916,KEGG,unknown,K06916
K06917,KEGG,EC:2.9,K06917
K06918,KEGG,unknown,K06918
K06919,KEGG,unknown,K06919
K06920,KEGG,EC:6.3,K06920
K06921,KEGG,unknown,K06921
K06922,KEGG,unknown,K06922
K06923,KEGG,unknown,K06923
K06924,KEGG,unknown,K06924
K06925,KEGG,unknown,K06925
K06926,KEGG,unknown,K06926
K06927,KEGG,EC:6.3,K06927
K06928,KEGG,EC:3.6,K06928
K06929,KEGG,unknown,K06929
K06932,KEGG,EC:6.3,K06932
K06933,KEGG,unknown,K06933
K06934,KEGG,unknown,K06934
K06936,KEGG,EC:2.6,K06936
K06937,KEGG,unknown,K06937
K06938,KEGG,unknown,K06938
K06940,KEGG,unknown,K06940
K06941,KEGG,EC:2.1,K06941
K06942,KEGG,unknown,K06942
K06943,KEGG,unknown,K06943
K06944,KEGG,EC:3.6,K06944
K06945,KEGG,unknown,K06945
K06946,KEGG,unknown,K06946
K06948,KEGG,unknown,K06948
K06949,KEGG,EC:3.6,K06949
K06950,KEGG,unknown,K06950
K06951,KEGG,unknown,K06951
K06952,KEGG,EC:3.1,K06952
K06953,KEGG,unknown,K06953
K06954,KEGG,unknown,K06954
K06956,KEGG,unknown,K06956
K06957,KEGG,EC:2.3,K06957
K06958,KEGG,unknown,K06958
K06959,KEGG,unknown,K06959
K06960,KEGG,unknown,K06960
K06961,KEGG,unknown,K06961
K06962,KEGG,unknown,K06962
K06964,KEGG,unknown,K06964
K06965,KEGG,unknown,K06965
K06966,KEGG,EC:3.2,K06966
K06967,KEGG,EC:2.1,K06967
K06968,KEGG,EC:2.1,K06968
K06969,KEGG,EC:2.1,K06969
K06970,KEGG,EC:2.1,K06970
K06971,KEGG,unknown,K06971
K06972,KEGG,EC:3.4,K06972
K06973,KEGG,unknown,K06973
K06974,KEGG,EC:3.4,K06974
K06975,KEGG,unknown,K06975
K06976,KEGG,unknown,K06976
K06977,KEGG,unknown,K06977
K06978,KEGG,unknown,K06978
K06979,KEGG,unknown,K06979
K06980,KEGG,unknown,K06980
K06981,KEGG,EC:2.7,K06981
K06982,KEGG,EC:2.7,K06982
K06984,KEGG,EC:2.4,K06984
K06985,KEGG,unknown,K06985
K06986,KEGG,unknown,K06986
K06987,KEGG,unknown,K06987
K06988,KEGG,EC:1.5,K06988
K06989,KEGG,EC:1.4,K06989
K06990,KEGG,unknown,K06990
K06992,KEGG,unknown,K06992
K06993,KEGG,unknown,K06993
K06994,KEGG,unknown,K06994
K06995,KEGG,unknown,K06995
K06996,KEGG,unknown,K06996
K06997,KEGG,unknown,K06997
K06998,KEGG,EC:5.3,K06998
K06999,KEGG,unknown,K06999
K07000,KEGG,unknown,K07000
K07001,KEGG,unknown,K07001
K07002,KEGG,unknown,K07002
K07003,KEGG,unknown,K07003
K07004,KEGG,unknown,K07004
K07005,KEGG,unknown,K07005
K07006,KEGG,unknown,K07006
K07007,KEGG,EC:1.3,K07007
K07009,KEGG,EC:6.3,K07009
K07010,KEGG,unknown,K07010
K07012,KEGG,EC:3.1,K07012
K07013,KEGG,unknown,K07013
K07014,KEGG,unknown,K07014
K07015,KEGG,EC:3.1,K07015
K07016,KEGG,unknown,K07016
K07017,KEGG,unknown,K07017
K07018,KEGG,unknown,K07018
K07019,KEGG,unknown,K07019
K07020,KEGG,unknown,K07020
K07022,KEGG,unknown,K07022
K07023,KEGG,EC:3.1,K07023
K07025,KEGG,unknown,K07025
K07026,KEGG,EC:3.1,K07026
K07027,KEGG,unknown,K07027
K07028,KEGG,unknown,K07028
K07029,KEGG,EC:2.7,K07029
K07030,KEGG,EC:2.7,K07030
K07031,KEGG,EC:2.7,K07031
K07032,KEGG,unknown,K07032
K07033,KEGG,unknown,K07033
K07034,KEGG,unknown,K07034
K07035,KEGG,unknown,K07035
K07037,KEGG,EC:3.1,K07037
K07038,KEGG,unknown,K07038
K07039,KEGG,unknown,K07039
K07040,KEGG,unknown,K07040
K07041,KEGG,unknown,K07041
K07042,KEGG,unknown,K07042
K07043,KEGG,EC:3.6,K07043
K07044,KEGG,unknown,K07044
K07045,KEGG,unknown,K07045
K07046,KEGG,EC:3.1,K07046
K07047,KEGG,EC:3.5,K07047
K07048,KEGG,unknown,K07048
K07049,KEGG,unknown,K07049
K07050,KEGG,EC:3.1,K07050
K07051,KEGG,unknown,K07051
K07052,KEGG,unknown,K07052
K07053,KEGG,EC:3.1,K07053
K07054,KEGG,unknown,K07054
K07055,KEGG,EC:2.5,K07055
K07056,KEGG,EC:2.1,K07056
K07058,KEGG,unknown,K07058
K07059,KEGG,unknown,K07059
K07060,KEGG,EC:3.1,K07060
K07061,KEGG,unknown,K07061
K07062,KEGG,EC:3.1,K07062
K07063,KEGG,unknown,K07063
K07064,KEGG,unknown,K07064
K07066,KEGG,unknown,K07066
K07067,KEGG,EC:2.7,K07067
K07068,KEGG,unknown,K07068
K07069,KEGG,unknown,K07069
K07070,KEGG,unknown,K07070
K07071,KEGG,unknown,K07071
K07072,KEGG,EC:2.5,K07072
K07074,KEGG,unknown,K07074
K07075,KEGG,unknown,K07075
K07076,KEGG,unknown,K07076
K07078,KEGG,unknown,K07078
K07079,KEGG,unknown,K07079
K07080,KEGG,unknown,K07080
K07082,KEGG,unknown,K07082
K07084,KEGG,unknown,K07084
K07085,KEGG,unknown,K07085
K07086,KEGG,unknown,K07086
K07089,KEGG,unknown,K07089
K07090,KEGG,unknown,K07090
K07091,KEGG,unknown,K07091
K07092,KEGG,unknown,K07092
K07093,KEGG,unknown,K07093
K07095,KEGG,unknown,K07095
K07096,KEGG,unknown,K07096
K07097,KEGG,unknown,K07097
K07098,KEGG,unknown,K07098
K07099,KEGG,unknown,K07099
K07100,KEGG,unknown,K07100
K07101,KEGG,unknown,K07101
K07102,KEGG,EC:2.7,K07102
K07103,KEGG,unknown,K07103
K07104,KEGG,EC:1.1,K07104
K07105,KEGG,unknown,K07105
K07106,KEGG,EC:4.2,K07106
K07107,KEGG,EC:3.1,K07107
K07108,KEGG,unknown,K07108
K07109,KEGG,unknown,K07109
K07112,KEGG,unknown,K07112
K07113,KEGG,unknown,K07113
K07114,KEGG,unknown,K07114
K07115,KEGG,EC:2.1,K07115
K07116,KEGG,EC:3.5,K07116
K07117,KEGG,unknown,K07117
K07118,KEGG,unknown,K07118
K07120,KEGG,unknown,K07120
K07121,KEGG,unknown,K07121
K07122,KEGG,unknown,K07122
K07123,KEGG,unknown,K07123
K07124,KEGG,unknown,K07124
K07126,KEGG,unknown,K07126
K07127,KEGG,EC:3.5,K07127
K07129,KEGG,unknown,K07129
K07130,KEGG,EC:3.5,K07130
K07131,KEGG,unknown,K07131
K07133,KEGG,unknown,K07133
K07134,KEGG,unknown,K07134
K07135,KEGG,unknown,K07135
K07136,KEGG,unknown,K07136
K07137,KEGG,unknown,K07137
K07138,KEGG,unknown,K07138
K07139,KEGG,unknown,K07139
K07140,KEGG,unknown,K07140
K07141,KEGG,EC:2.7,K07141
K07142,KEGG,EC:2.7,K07142
K07144,KEGG,EC:2.7,K07144
K07145,KEGG,EC:1.1,K07145
K07146,KEGG,unknown,K07146
K07147,KEGG,EC:1.8,K07147
K07148,KEGG,unknown,K07148
K07149,KEGG,unknown,K07149
K07150,KEGG,unknown,K07150
K07152,KEGG,unknown,K07152
K07153,KEGG,unknown,K07153
K07154,KEGG,EC:2.7,K07154
K07155,KEGG,EC:1.1,K07155
K07156,KEGG,unknown,K07156
K07157,KEGG,unknown,K07157
K07158,KEGG,unknown,K07158
K07159,KEGG,unknown,K07159
K07160,KEGG,EC:3.5,K07160
K07161,KEGG,unknown,K07161
K07164,KEGG,unknown,K07164
K07165,KEGG,unknown,K07165
K07166,KEGG,unknown,K07166
K07167,KEGG,unknown,K07167
K07168,KEGG,unknown,K07168
K07169,KEGG,unknown,K07169
K07171,KEGG,EC:3.1,K07171
K07172,KEGG,unknown,K07172
K07173,KEGG,EC:4.4,K07173
K07175,KEGG,unknown,K07175
K07177,KEGG,unknown,K07177
K07178,KEGG,EC:2.7,K07178
K07180,KEGG,unknown,K07180
K07181,KEGG,EC:3.1,K07181
K07182,KEGG,unknown,K07182
K07184,KEGG,unknown,K07184
K07186,KEGG,unknown,K07186
K07192,KEGG,unknown,K07192
K07213,KEGG,unknown,K07213
K07214,KEGG,EC:3.1,K07214
K07215,KEGG,EC:1.1,K07215
K07216,KEGG,unknown,K07216
K07217,KEGG,unknown,K07217
K07218,KEGG,unknown,K07218
K07219,KEGG,unknown,K07219
K07220,KEGG,unknown,K07220
K07221,KEGG,unknown,K07221
K07222,KEGG,unknown,K07222
K07223,KEGG,EC:1.1,K07223
K07224,KEGG,unknown,K07224
K07225,KEGG,unknown,K07225
K07226,KEGG,EC:1.1,K07226
K07227,KEGG,unknown,K07227
K07229,KEGG,EC:1.1,K07229
K07230,KEGG,unknown,K07230
K07231,KEGG,unknown,K07231
K07232,KEGG,EC:4.3,K07232
K07233,KEGG,unknown,K07233
K07234,KEGG,unknown,K07234
K07235,KEGG,EC:2.8,K07235
K07236,KEGG,unknown,K07236
K07237,KEGG,unknown,K07237
K07238,KEGG,unknown,K07238
K07240,KEGG,unknown,K07240
K07241,KEGG,unknown,K07241
K07242,KEGG,unknown,K07242
K07243,KEGG,unknown,K07243
K07244,KEGG,unknown,K07244
K07245,KEGG,unknown,K07245
K07246,KEGG,EC:1.1,K07246
K07248,KEGG,EC:1.2,K07248
K07250,KEGG,EC:2.6,K07250
K07251,KEGG,EC:2.7,K07251
K07253,KEGG,EC:5.3,K07253
K07254,KEGG,EC:2.1,K07254
K07257,KEGG,unknown,K07257
K07258,KEGG,EC:3.4,K07258
K07259,KEGG,EC:3.4,K07259
K07260,KEGG,EC:3.4,K07260
K07261,KEGG,EC:3.4,K07261
K07262,KEGG,EC:3.4,K07262
K07263,KEGG,EC:3.4,K07263
K07264,KEGG,EC:2.4,K07264
K07265,KEGG,unknown,K07265
K07267,KEGG,unknown,K07267
K07268,KEGG,unknown,K07268
K07269,KEGG,unknown,K07269
K07270,KEGG,unknown,K07270
K07271,KEGG,EC:2.7,K07271
K07272,KEGG,EC:2.4,K07272
K07273,KEGG,unknown,K07273
K07274,KEGG,unknown,K07274
K07275,KEGG,unknown,K07275
K07276,KEGG,unknown,K07276
K07277,KEGG,unknown,K07277
K07278,KEGG,unknown,K07278
K07279,KEGG,unknown,K07279
K07280,KEGG,unknown,K07280
K07281,KEGG,EC:2.7,K07281
K07282,KEGG,unknown,K07282
K07283,KEGG,unknown,K07283
K07284,KEGG,EC:3.4,K07284
K07285,KEGG,unknown,K07285
K07286,KEGG,unknown,K07286
K07287,KEGG,unknown,K07287
K07288,KEGG,unknown,K07288
K07289,KEGG,unknown,K07289
K07290,KEGG,unknown,K07290
K07300,KEGG,unknown,K07300
K07301,KEGG,unknown,K07301
K07302,KEGG,EC:1.3,K07302
K07303,KEGG,EC:1.3,K07303
K07304,KEGG,EC:1.8,K07304
K07305,KEGG,EC:1.8,K07305
K07306,KEGG,EC:1.8,K07306
K07307,KEGG,unknown,K07307
K07308,KEGG,unknown,K07308
K07309,KEGG,EC:1.9,K07309
K07310,KEGG,EC:1.9,K07310
K07312,KEGG,unknown,K07312
K07313,KEGG,EC:3.1,K07313
K07314,KEGG,EC:3.1,K07314
K07315,KEGG,EC:3.1,K07315
K07316,KEGG,EC:2.1,K07316
K07317,KEGG,EC:2.1,K07317
K07318,KEGG,EC:2.1,K07318
K07319,KEGG,EC:2.1,K07319
K07320,KEGG,EC:2.1,K07320
K07321,KEGG,unknown,K07321
K07322,KEGG,unknown,K07322
K07323,KEGG,unknown,K07323
K07326,KEGG,unknown,K07326
K07332,KEGG,unknown,K07332
K07333,KEGG,unknown,K07333
K07334,KEGG,unknown,K07334
K07335,KEGG,unknown,K07335
K07336,KEGG,EC:1.1,K07336
K07337,KEGG,unknown,K07337
K07339,KEGG,EC:3.1,K07339
K07340,KEGG,unknown,K07340
K07341,KEGG,unknown,K07341
K07342,KEGG,unknown,K07342
K07343,KEGG,unknown,K07343
K07344,KEGG,unknown,K07344
K07345,KEGG,unknown,K07345
K07346,KEGG,unknown,K07346
K07347,KEGG,unknown,K07347
K07348,KEGG,unknown,K07348
K07349,KEGG,unknown,K07349
K07350,KEGG,unknown,K07350
K07351,KEGG,unknown,K07351
K07352,KEGG,unknown,K07352
K07353,KEGG,unknown,K07353
K07356,KEGG,unknown,K07356
K07357,KEGG,unknown,K07357
K07358,KEGG,unknown,K07358
K07381,KEGG,EC:1.1,K07381
K07382,KEGG,EC:1.1,K07382
K07386,KEGG,EC:3.4,K07386
K07387,KEGG,EC:3.4,K07387
K07388,KEGG,unknown,K07388
K07389,KEGG,EC:2.3,K07389
K07390,KEGG,unknown,K07390
K07391,KEGG,unknown,K07391
K07392,KEGG,unknown,K07392
K07393,KEGG,EC:1.8,K07393
K07394,KEGG,unknown,K07394
K07395,KEGG,unknown,K07395
K07396,KEGG,unknown,K07396
K07397,KEGG,unknown,K07397
K07399,KEGG,unknown,K07399
K07400,KEGG,unknown,K07400
K07401,KEGG,unknown,K07401
K07402,KEGG,unknown,K07402
K07403,KEGG,unknown,K07403
K07404,KEGG,EC:3.1,K07404
K07405,KEGG,EC:3.2,K07405
K07406,KEGG,EC:3.2,K07406
K07407,KEGG,EC:3.2,K07407
K07441,KEGG,EC:2.4,K07441
K07442,KEGG,EC:2.1,K07442
K07443,KEGG,unknown,K07443
K07444,KEGG,EC:2.1,K07444
K07445,KEGG,unknown,K07445
K07446,KEGG,EC:2.1,K07446
K07447,KEGG,EC:3.1,K07447
K07448,KEGG,unknown,K07448
K07450,KEGG,unknown,K07450
K07451,KEGG,EC:3.1,K07451
K07452,KEGG,EC:3.1,K07452
K07453,KEGG,unknown,K07453
K07454,KEGG,unknown,K07454
K07455,KEGG,unknown,K07455
K07456,KEGG,unknown,K07456
K07457,KEGG,unknown,K07457
K07458,KEGG,EC:3.1,K07458
K07459,KEGG,unknown,K07459
K07460,KEGG,unknown,K07460
K07461,KEGG,unknown,K07461
K07462,KEGG,EC:3.1,K07462
K07463,KEGG,unknown,K07463
K07464,KEGG,EC:3.1,K07464
K07465,KEGG,unknown,K07465
K07466,KEGG,unknown,K07466
K07467,KEGG,unknown,K07467
K07469,KEGG,EC:1.2,K07469
K07470,KEGG,unknown,K07470
K07471,KEGG,unknown,K07471
K07473,KEGG,unknown,K07473
K07474,KEGG,unknown,K07474
K07477,KEGG,unknown,K07477
K07478,KEGG,unknown,K07478
K07479,KEGG,unknown,K07479
K07480,KEGG,unknown,K07480
K07481,KEGG,unknown,K07481
K07482,KEGG,unknown,K07482
K07483,KEGG,unknown,K07483
K07484,KEGG,unknown,K07484
K07485,KEGG,unknown,K07485
K07486,KEGG,unknown,K07486
K07487,KEGG,unknown,K07487
K07488,KEGG,unknown,K07488
K07490,KEGG,unknown,K07490
K07491,KEGG,unknown,K07491
K07492,KEGG,unknown,K07492
K07493,KEGG,unknown,K07493
K07494,KEGG,unknown,K07494
K07495,KEGG,unknown,K07495
K07496,KEGG,unknown,K07496
K07497,KEGG,unknown,K07497
K07498,KEGG,unknown,K07498
K07499,KEGG,unknown,K07499
K07501,KEGG,unknown,K07501
K07502,KEGG,unknown,K07502
K07503,KEGG,EC:3.1,K07503
K07504,KEGG,unknown,K07504
K07505,KEGG,unknown,K07505
K07506,KEGG,unknown,K07506
K07507,KEGG,unknown,K07507
K07512,KEGG,EC:1.3,K07512
K07516,KEGG,EC:1.1,K07516
K07517,KEGG,EC:5.3,K07517
K07533,KEGG,EC:5.2,K07533
K07535,KEGG,EC:1.1,K07535
K07552,KEGG,unknown,K07552
K07556,KEGG,unknown,K07556
K07557,KEGG,EC:2.6,K07557
K07558,KEGG,EC:2.7,K07558
K07559,KEGG,EC:2.7,K07559
K07560,KEGG,EC:3.1,K07560
K07561,KEGG,EC:2.5,K07561
K07562,KEGG,unknown,K07562
K07566,KEGG,EC:2.7,K07566
K07568,KEGG,EC:2.4,K07568
K07569,KEGG,unknown,K07569
K07570,KEGG,unknown,K07570
K07571,KEGG,unknown,K07571
K07572,KEGG,unknown,K07572
K07573,KEGG,unknown,K07573
K07574,KEGG,unknown,K07574
K07576,KEGG,unknown,K07576
K07577,KEGG,unknown,K07577
K07579,KEGG,unknown,K07579
K07580,KEGG,unknown,K07580
K07581,KEGG,unknown,K07581
K07583,KEGG,EC:5.4,K07583
K07584,KEGG,unknown,K07584
K07585,KEGG,unknown,K07585
K07586,KEGG,unknown,K07586
K07588,KEGG,EC:3.6,K07588
K07589,KEGG,EC:5.1,K07589
K07590,KEGG,unknown,K07590
K07591,KEGG,unknown,K07591
K07592,KEGG,unknown,K07592
K07636,KEGG,EC:2.7,K07636
K07637,KEGG,EC:2.7,K07637
K07638,KEGG,EC:2.7,K07638
K07639,KEGG,EC:2.7,K07639
K07640,KEGG,EC:2.7,K07640
K07641,KEGG,EC:2.7,K07641
K07642,KEGG,EC:2.7,K07642
K07643,KEGG,EC:2.7,K07643
K07644,KEGG,EC:2.7,K07644
K07645,KEGG,EC:2.7,K07645
K07646,KEGG,EC:2.7,K07646
K07647,KEGG,EC:2.7,K07647
K07648,KEGG,EC:2.7,K07648
K07649,KEGG,EC:2.7,K07649
K07650,KEGG,EC:2.7,K07650
K07652,KEGG,EC:2.7,K07652
K07654,KEGG,EC:2.7,K07654
K07657,KEGG,unknown,K07657
K07658,KEGG,unknown,K07658
K07659,KEGG,unknown,K07659
K07660,KEGG,unknown,K07660
K07661,KEGG,unknown,K07661
K07662,KEGG,unknown,K07662
K07663,KEGG,unknown,K07663
K07664,KEGG,unknown,K07664
K07665,KEGG,unknown,K07665
K07666,KEGG,unknown,K07666
K07667,KEGG,unknown,K07667
K07668,KEGG,unknown,K07668
K07670,KEGG,unknown,K07670
K07673,KEGG,EC:2.7,K07673
K07674,KEGG,EC:2.7,K07674
K07675,KEGG,EC:2.7,K07675
K07676,KEGG,EC:2.7,K07676
K07677,KEGG,EC:2.7,K07677
K07678,KEGG,EC:2.7,K07678
K07679,KEGG,EC:2.7,K07679
K07682,KEGG,EC:2.7,K07682
K07683,KEGG,EC:2.7,K07683
K07684,KEGG,unknown,K07684
K07685,KEGG,unknown,K07685
K07686,KEGG,unknown,K07686
K07687,KEGG,unknown,K07687
K07688,KEGG,unknown,K07688
K07689,KEGG,unknown,K07689
K07690,KEGG,unknown,K07690
K07692,KEGG,unknown,K07692
K07693,KEGG,unknown,K07693
K07695,KEGG,unknown,K07695
K07696,KEGG,unknown,K07696
K07699,KEGG,unknown,K07699
K07700,KEGG,EC:2.7,K07700
K07701,KEGG,EC:2.7,K07701
K07702,KEGG,unknown,K07702
K07703,KEGG,unknown,K07703
K07704,KEGG,EC:2.7,K07704
K07705,KEGG,unknown,K07705
K07706,KEGG,EC:2.7,K07706
K07707,KEGG,unknown,K07707
K07708,KEGG,EC:2.7,K07708
K07709,KEGG,EC:2.7,K07709
K07710,KEGG,EC:2.7,K07710
K07711,KEGG,EC:2.7,K07711
K07712,KEGG,unknown,K07712
K07713,KEGG,unknown,K07713
K07714,KEGG,unknown,K07714
K07715,KEGG,unknown,K07715
K07716,KEGG,EC:2.7,K07716
K07717,KEGG,EC:2.7,K07717
K07718,KEGG,EC:2.7,K07718
K07719,KEGG,unknown,K07719
K07720,KEGG,unknown,K07720
K07721,KEGG,unknown,K07721
K07722,KEGG,unknown,K07722
K07723,KEGG,unknown,K07723
K07724,KEGG,unknown,K07724
K07726,KEGG,unknown,K07726
K07727,KEGG,unknown,K07727
K07728,KEGG,unknown,K07728
K07729,KEGG,unknown,K07729
K07730,KEGG,unknown,K07730
K07731,KEGG,unknown,K07731
K07732,KEGG,EC:2.7,K07732
K07733,KEGG,unknown,K07733
K07734,KEGG,unknown,K07734
K07735,KEGG,unknown,K07735
K07736,KEGG,unknown,K07736
K07738,KEGG,unknown,K07738
K07739,KEGG,EC:2.3,K07739
K07740,KEGG,unknown,K07740
K07741,KEGG,unknown,K07741
K07742,KEGG,unknown,K07742
K07743,KEGG,unknown,K07743
K07744,KEGG,unknown,K07744
K07746,KEGG,unknown,K07746
K07749,KEGG,EC:2.8,K07749
K07751,KEGG,EC:3.4,K07751
K07755,KEGG,EC:2.1,K07755
K07757,KEGG,EC:3.1,K07757
K07765,KEGG,EC:3.4,K07765
K07768,KEGG,EC:2.7,K07768
K07770,KEGG,unknown,K07770
K07771,KEGG,unknown,K07771
K07772,KEGG,unknown,K07772
K07773,KEGG,unknown,K07773
K07774,KEGG,unknown,K07774
K07775,KEGG,unknown,K07775
K07776,KEGG,unknown,K07776
K07777,KEGG,EC:2.7,K07777
K07778,KEGG,EC:2.7,K07778
K07780,KEGG,unknown,K07780
K07781,KEGG,unknown,K07781
K07782,KEGG,unknown,K07782
K07783,KEGG,unknown,K07783
K07784,KEGG,unknown,K07784
K07786,KEGG,unknown,K07786
K07787,KEGG,unknown,K07787
K07788,KEGG,unknown,K07788
K07789,KEGG,unknown,K07789
K07791,KEGG,unknown,K07791
K07792,KEGG,unknown,K07792
K07793,KEGG,unknown,K07793
K07794,KEGG,unknown,K07794
K07795,KEGG,unknown,K07795
K07796,KEGG,unknown,K07796
K07797,KEGG,unknown,K07797
K07798,KEGG,unknown,K07798
K07799,KEGG,unknown,K07799
K07800,KEGG,unknown,K07800
K07802,KEGG,unknown,K07802
K07803,KEGG,unknown,K07803
K07804,KEGG,unknown,K07804
K07806,KEGG,EC:2.6,K07806
K07807,KEGG,unknown,K07807
K07810,KEGG,unknown,K07810
K07811,KEGG,EC:1.7,K07811
K07812,KEGG,EC:1.7,K07812
K07813,KEGG,unknown,K07813
K07814,KEGG,EC:3.1,K07814
K07816,KEGG,EC:2.7,K07816
K07821,KEGG,unknown,K07821
K07862,KEGG,unknown,K07862
K07978,KEGG,unknown,K07978
K07979,KEGG,unknown,K07979
K07991,KEGG,EC:3.4,K07991
K08068,KEGG,EC:3.2,K08068
K08070,KEGG,EC:1.3,K08070
K08077,KEGG,EC:3.6,K08077
K08082,KEGG,EC:2.7,K08082
K08083,KEGG,unknown,K08083
K08084,KEGG,unknown,K08084
K08086,KEGG,unknown,K08086
K08087,KEGG,unknown,K08087
K08088,KEGG,unknown,K08088
K08092,KEGG,EC:1.1,K08092
K08093,KEGG,EC:4.1,K08093
K08094,KEGG,EC:5.3,K08094
K08096,KEGG,EC:3.5,K08096
K08097,KEGG,EC:4.4,K08097
K08137,KEGG,unknown,K08137
K08138,KEGG,unknown,K08138
K08139,KEGG,unknown,K08139
K08151,KEGG,unknown,K08151
K08152,KEGG,unknown,K08152
K08153,KEGG,unknown,K08153
K08154,KEGG,unknown,K08154
K08156,KEGG,unknown,K08156
K08159,KEGG,unknown,K08159
K08160,KEGG,unknown,K08160
K08161,KEGG,unknown,K08161
K08162,KEGG,unknown,K08162
K08163,KEGG,unknown,K08163
K08166,KEGG,unknown,K08166
K08167,KEGG,unknown,K08167
K08168,KEGG,unknown,K08168
K08169,KEGG,unknown,K08169
K08170,KEGG,unknown,K08170
K08172,KEGG,unknown,K08172
K08173,KEGG,unknown,K08173
K08174,KEGG,unknown,K08174
K08175,KEGG,unknown,K08175
K08177,KEGG,unknown,K08177
